,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
0,The Bad Touch,Bloodhound Gang,"1,5,4,6",Intro and Verse,The Bad Touch,Bloodhound Gang,669371,3863310,"rock, alternative, dance, alternative rock, comedy",The Bad Touch,Bloodhound Gang,71.0,2000-01-01
1,Out From Under,Britney Spears,"1,5,4,6",Verse,Out from Under,Britney Spears,157791,1443791,"pop, Britney Spears, Ballad, broken heart, circus",Out from Under,Britney Spears,46.0,2009-01-06
2,Every Time We Touch,Cascada,"1,5,4,6",Verse,Everytime We Touch,Cascada,312590,1987067,"dance, pop, techno, trance, electronic",Everytime We Touch,Cascada,67.0,2006-02-21
3,Sultans of Swing,Dire Straits,"1,5,4,6",Chorus,Sultans of Swing,Dire Straits,1067338,7709279,"classic rock, rock, dire straits, 80s, guitar",Sultans of Swing,Dire Straits,68.0,1978-10-07
4,Raise Your Glass,Pink,"1,5,4,6",Chorus,Raise Your Glass,P!nk,330013,2773529,"pop, pop rock, P!nk, female vocalists, rock",Raise Your Glass,P!nk,77.0,2010-10-05
5,Disturbia,Rihanna,"1,5,4,6",Chorus,Disturbia,Rihanna,806010,5212220,"pop, dance, Rihanna, rnb, female vocalists",Disturbia,Rihanna,74.0,2008-06-02
6,Disturbia,Rihanna,"1,5,4,6",Pre-Chorus,Disturbia,Rihanna,806010,5212220,"pop, dance, Rihanna, rnb, female vocalists",Disturbia,Rihanna,74.0,2008-06-02
7,Levels,Avicii,"1,5,4,6",Intro,Levels,Avicii,586547,4000215,"dance, House, electronic, party, Progressive House",Levels,Avicii,58.0,2011-01-01
8,Starships,Nicki Minaj,"1,5,4,6",Chorus,Starships,Nicki Minaj,543812,4700852,"pop, dance, nicki minaj, party, female vocalists",Starships,Nicki Minaj,68.0,2011-01-01
9,Starships,Nicki Minaj,"1,5,4,6",Pre-Chorus,Starships,Nicki Minaj,543812,4700852,"pop, dance, nicki minaj, party, female vocalists",Starships,Nicki Minaj,68.0,2011-01-01
10,Red,Taylor Swift,"1,5,4,6",Chorus,Red,Taylor Swift,215788,2731260,"country, pop, taylor swift, country pop, female vocalists",Red,Taylor Swift,61.0,2012-10-22
11,22,Taylor Swift,"1,5,4,6",Chorus,22,Taylor Swift,282398,2887681,"pop, taylor swift, country, love at first listen, female vocalists",22,Taylor Swift,62.0,2012-10-22
12,Burnin up,Jonas Brothers,"1,5,4,6",Verse,Burnin' Up,Jonas Brothers,218955,1303813,"jonas brothers, pop, pop rock, rock, dance",Burnin' Up,Jonas Brothers,74.0,2008-08-12
13,Burnin up,Jonas Brothers,"1,5,4,6",Chorus,Burnin' Up,Jonas Brothers,218955,1303813,"jonas brothers, pop, pop rock, rock, dance",Burnin' Up,Jonas Brothers,74.0,2008-08-12
14,Raise Your Glass,Pink,"1,5,4,6",Verse,Raise Your Glass,P!nk,330013,2773529,"pop, pop rock, P!nk, female vocalists, rock",Raise Your Glass,P!nk,77.0,2010-10-05
15,Raise Your Glass,Pink,"1,5,4,6",Pre-Chorus,Raise Your Glass,P!nk,330013,2773529,"pop, pop rock, P!nk, female vocalists, rock",Raise Your Glass,P!nk,77.0,2010-10-05
16,Broken Strings,James Morrison ft Nelly Furtado,"1,5,4,6",Chorus,Broken Strings,James Morrison,333851,1929460,"pop, James Morrison, singer-songwriter, rock, Love",Broken Strings,James Morrison,55.0,2008-01-01
17,Just What I Needed,The Cars,"1,5,4,6",Chorus,Just What I Needed,The Cars,326102,1608549,"new wave, 80s, rock, classic rock, pop",Just What I Needed,The Cars,73.0,1978-06-06
18,Cinema Remix,Skrillex,"1,5,4,6",Verse and Pre-Chorus,Cinema Remix,Skrillex,389,2931,,,,,
